stress_level_min,stress_level_max,muscle_category,calories_min,calories_max,exercise,exercise_intensity,estimated_calories_burned_30min,research_basis
3,3,legs,1500,2200,Back Squat,1,1,1
1,1,legs,2200,3000,Front Squat,1,1,1
2,2,legs,1800,2500,Front Squat,1,1,1
3,3,legs,1500,2200,Front Squat,1,1,1
1,1,legs,2200,3000,Leg Press,1,1,1
2,2,legs,1800,2500,Leg Press,1,1,1
3,3,legs,1500,2200,Leg Press,1,1,1
1,1,legs,2200,3000,Walking Lunges,1,1,1
2,2,legs,1800,2500,Walking Lunges,1,1,1
3,3,legs,1500,2200,Walking Lunges,1,1,1
1,1,legs,2200,3000,Romanian Deadlift,1,1,1
2,2,legs,1800,2500,Romanian Deadlift,1,1,1
3,3,legs,1500,2200,Romanian Deadlift,1,1,1
1,1,legs,2200,3000,Seated Leg Curl,1,1,1
2,2,legs,1800,2500,Seated Leg Curl,1,1,1
3,3,legs,1500,2200,Seated Leg Curl,1,1,1
1,1,legs,2200,3000,Goblet Squat,1,1,1
2,2,legs,1800,2500,Goblet Squat,1,1,1
3,3,legs,1500,2200,Goblet Squat,1,1,1
1,1,back,2200,3000,Deadlift,1,1,1
2,2,back,1800,2500,Deadlift,1,1,1
3,3,back,1500,2200,Deadlift,1,1,1
1,1,back,2200,3000,Pull-Ups,1,1,1
2,2,back,1800,2500,Pull-Ups,1,1,1
3,3,back,1500,2200,Pull-Ups,1,1,1
1,1,back,2200,3000,Lat Pulldown,1,1,1
2,2,back,1800,2500,Lat Pulldown,1,1,1
3,3,back,1500,2200,Lat Pulldown,1,1,1
1,1,back,2200,3000,Seated Cable Row,1,1,1
2,2,back,1800,2500,Seated Cable Row,1,1,1
3,3,back,1500,2200,Seated Cable Row,1,1,1
1,1,back,2200,3000,Machine Row,1,1,1
2,2,back,1800,2500,Machine Row,1,1,1
3,3,back,1500,2200,Machine Row,1,1,1
1,1,back,2200,3000,Barbell Row,1,1,1
2,2,back,1800,2500,Barbell Row,1,1,1
3,3,back,1500,2200,Barbell Row,1,1,1
1,1,biceps,2200,3000,Barbell Curl,1,1,1
2,2,biceps,1800,2500,Barbell Curl,1,1,1
3,3,biceps,1500,2200,Barbell Curl,1,1,1
1,1,biceps,2200,3000,Incline Dumbbell Curl,1,1,1
2,2,biceps,1800,2500,Incline Dumbbell Curl,1,1,1
3,3,biceps,1500,2200,Incline Dumbbell Curl,1,1,1
1,1,biceps,2200,3000,Hammer Curl,1,1,1
2,2,biceps,1800,2500,Hammer Curl,1,1,1
3,3,biceps,1500,2200,Hammer Curl,1,1,1
1,1,biceps,2200,3000,Cable Curl,1,1,1
2,2,biceps,1800,2500,Cable Curl,1,1,1
3,3,biceps,1500,2200,Cable Curl,1,1,1
1,1,biceps,2200,3000,Chin-Ups,1,1,1
2,2,biceps,1800,2500,Chin-Ups,1,1,1
3,3,biceps,1500,2200,Chin-Ups,1,1,1
1,1,triceps,2200,3000,Close-Grip Bench Press,1,1,1
2,2,triceps,1800,2500,Close-Grip Bench Press,1,1,1
3,3,triceps,1500,2200,Close-Grip Bench Press,1,1,1
1,1,triceps,2200,3000,Cable Pushdowns,1,1,1
2,2,triceps,1800,2500,Cable Pushdowns,1,1,1
3,3,triceps,1500,2200,Cable Pushdowns,1,1,1
1,1,triceps,2200,3000,Skull Crushers,1,1,1
2,2,triceps,1800,2500,Skull Crushers,1,1,1
3,3,triceps,1500,2200,Skull Crushers,1,1,1
1,1,triceps,2200,3000,Weighted Dips,1,1,1
2,2,triceps,1800,2500,Weighted Dips,1,1,1
3,3,triceps,1500,2200,Weighted Dips,1,1,1
1,1,triceps,2200,3000,Overhead Extensions,1,1,1
2,2,triceps,1800,2500,Overhead Extensions,1,1,1
3,3,triceps,1500,2200,Overhead Extensions,1,1,1
1,1,arms,2200,3000,EZ-Bar Curl,1,1,1
2,2,arms,1800,2500,EZ-Bar Curl,1,1,1
3,3,arms,1500,2200,EZ-Bar Curl,1,1,1
1,1,arms,2200,3000,Hammer Curl,1,1,1
2,2,arms,1800,2500,Hammer Curl,1,1,1
3,3,arms,1500,2200,Hammer Curl,1,1,1
1,1,arms,2200,3000,Cable Curl,1,1,1
2,2,arms,1800,2500,Cable Curl,1,1,1
3,3,arms,1500,2200,Cable Curl,1,1,1
1,1,arms,2200,3000,Band Curl,1,1,1
2,2,arms,1800,2500,Band Curl,1,1,1
3,3,arms,1500,2200,Band Curl,1,1,1
1,1,arms,2200,3000,Preacher Curl,1,1,1
2,2,arms,1800,2500,Preacher Curl,1,1,1
3,3,arms,1500,2200,Preacher Curl,1,1,1
1,1,abs,2200,3000,Hanging Leg Raises,1,1,1
2,2,abs,1800,2500,Hanging Leg Raises,1,1,1
3,3,abs,1500,2200,Hanging Leg Raises,1,1,1
1,1,abs,2200,3000,Cable Crunches,1,1,1
2,2,abs,1800,2500,Cable Crunches,1,1,1
3,3,abs,1500,2200,Cable Crunches,1,1,1
1,1,abs,2200,3000,Plank Hold,1,1,1
2,2,abs,1800,2500,Plank Hold,1,1,1
3,3,abs,1500,2200,Plank Hold,1,1,1
1,1,abs,2200,3000,Ab Wheel Rollout,1,1,1
2,2,abs,1800,2500,Ab Wheel Rollout,1,1,1
3,3,abs,1500,2200,Ab Wheel Rollout,1,1,1
1,1,abs,2200,3000,Dead Bug,1,1,1
2,2,abs,1800,2500,Dead Bug,1,1,1
3,3,abs,1500,2200,Dead Bug,1,1,1
